a|PersonType|NameStyle|Title|FirstName|MiddleName|LastName|Suffix|EmailPromotion|AdditionalContactInfo
1|EM|0|NULL|Ken|J|Sánchez|NULL|0|NULL
2|EM|0|NULL|Terri|Lee|Duffy|NULL|1|NULL
3|EM|0|NULL|Roberto|NULL|Tamburello|NULL|0|NULL
4|EM|0|NULL|Rob|NULL|Walters|NULL|0|NULL
5|EM|0|Ms.|Gail|A|Erickson|NULL|0|NULL
6|EM|0|Mr.|Jossef|H|Goldberg|NULL|0|NULL
7|EM|0|NULL|Dylan|A|Miller|NULL|2|NULL
8|EM|0|NULL|Diane|L|Margheim|NULL|0|NULL
9|EM|0|NULL|Gigi|N|Matthew|NULL|0|NULL
10|EM|0|NULL|Michael|NULL|Raheem|NULL|2|NULL
11|EM|0|NULL|Ovidiu|V|Cracium|NULL|0|NULL
12|EM|0|NULL|Thierry|B|D'Hers|NULL|2|NULL
13|EM|0|Ms.|Janice|M|Galvin|NULL|2|NULL
14|EM|0|NULL|Michael|I|Sullivan|NULL|2|NULL
15|EM|0|NULL|Sharon|B|Salavaria|NULL|2|NULL
16|EM|0|NULL|David|M|Bradley|NULL|1|NULL
17|EM|0|NULL|Kevin|F|Brown|NULL|2|NULL
18|EM|0|NULL|John|L|Wood|NULL|2|NULL
19|EM|0|NULL|Mary|A|Dempsey|NULL|1|NULL
20|EM|0|NULL|Wanida|M|Benshoof|NULL|2|NULL
21|EM|0|NULL|Terry|J|Eminhizer|NULL|2|NULL
22|EM|0|NULL|Sariya|E|Harnpadoungsataya|NULL|0|NULL
23|EM|0|NULL|Mary|E|Gibson|NULL|0|NULL
24|EM|0|Ms.|Jill|A|Williams|NULL|0|NULL
25|EM|0|NULL|James|R|Hamilton|NULL|0|NULL
26|EM|0|NULL|Peter|J|Krebs|NULL|0|NULL
27|EM|0|NULL|Jo|A|Brown|NULL|0|NULL
28|EM|0|NULL|Guy|R|Gilbert|NULL|0|NULL
29|EM|0|NULL|Mark|K|McArthur|NULL|1|NULL
30|EM|0|NULL|Britta|L|Simon|NULL|0|NULL
31|EM|0|NULL|Margie|W|Shoop|NULL|2|NULL
32|EM|0|NULL|Rebecca|A|Laszlo|NULL|1|NULL
33|EM|0|NULL|Annik|O|Stahl|NULL|0|NULL
34|EM|0|NULL|Suchitra|O|Mohan|NULL|2|NULL
35|EM|0|NULL|Brandon|G|Heidepriem|NULL|1|NULL
36|EM|0|NULL|Jose|R|Lugo|NULL|2|NULL
