BusinessEntityID|EmailAddressID|EmailAddress
2272|1467|aaron1@adventure-works.com
5495|4690|aaron10@adventure-works.com
5496|4691|aaron11@adventure-works.com
5497|4692|aaron12@adventure-works.com
5500|4695|aaron13@adventure-works.com
5501|4696|aaron14@adventure-works.com
5502|4697|aaron15@adventure-works.com
5503|4698|aaron16@adventure-works.com
5504|4699|aaron17@adventure-works.com
5508|4703|aaron18@adventure-works.com
5509|4704|aaron19@adventure-works.com
2306|1501|aaron2@adventure-works.com
5512|4707|aaron20@adventure-works.com
5514|4709|aaron21@adventure-works.com
5515|4710|aaron22@adventure-works.com
5516|4711|aaron23@adventure-works.com
5518|4713|aaron24@adventure-works.com
5519|4714|aaron25@adventure-works.com
5520|4715|aaron26@adventure-works.com
5522|4717|aaron27@adventure-works.com
5523|4718|aaron28@adventure-works.com
5527|4722|aaron29@adventure-works.com
5483|4678|aaron3@adventure-works.com
5529|4724|aaron30@adventure-works.com
5531|4726|aaron31@adventure-works.com
5533|4728|aaron32@adventure-works.com
15626|14821|aaron33@adventure-works.com
15693|14888|aaron34@adventure-works.com
15761|14956|aaron35@adventure-works.com
15883|15078|aaron36@adventure-works.com
15964|15159|aaron37@adventure-works.com
16096|15291|aaron38@adventure-works.com
16167|15362|aaron39@adventure-works.com
5487|4682|aaron4@adventure-works.com
16214|15409|aaron40@adventure-works.com
16272|15467|aaron41@adventure-works.com
16344|15539|aaron42@adventure-works.com
16420|15615|aaron43@adventure-works.com
16509|15704|aaron44@adventure-works.com
16591|15786|aaron45@adventure-works.com
16664|15859|aaron46@adventure-works.com
16746|15941|aaron47@adventure-works.com
16867|16062|aaron48@adventure-works.com
16923|16118|aaron49@adventure-works.com
5488|4683|aaron5@adventure-works.com
17060|16255|aaron50@adventure-works.com
17109|16304|aaron51@adventure-works.com
17137|16332|aaron52@adventure-works.com
17261|16456|aaron53@adventure-works.com
17423|16618|aaron54@adventure-works.com
17561|16756|aaron55@adventure-works.com
5489|4684|aaron6@adventure-works.com
5491|4686|aaron7@adventure-works.com
5492|4687|aaron8@adventure-works.com
5494|4689|aaron9@adventure-works.com
3466|2661|abby0@adventure-works.com
3469|2664|abby1@adventure-works.com
17972|17167|abby10@adventure-works.com
17990|17185|abby11@adventure-works.com
18007|17202|abby12@adventure-works.com
18028|17223|abby13@adventure-works.com
18047|17242|abby14@adventure-works.com
18062|17257|abby15@adventure-works.com
18085|17280|abby16@adventure-works.com
18123|17318|abby17@adventure-works.com
18149|17344|abby18@adventure-works.com
